runid,n,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1,tmle2,aipw2
1,1000,8,59,0,-19.58661775467931,-7.833098226508582,-8.319896215121304,-10.702818580893357,-1.234073171909066,-6.308837553121123,-4.459453839778604,-2.8140911529693824,-14.875438848375126,-3.1505179048857315,-5.9932810135066745,-5.229094382547345,-6.174140884781262,-8.767975963039447,-0.7065785093266911,-0.6990053925355569
7,1000,7,50,0,-17.999333652021647,-8.389195964446799,-9.904947589888792,-12.288660078833047,-2.6780254404552437,-8.724857324257925,-8.543078893980663,-4.401019449951747,-17.344954361055642,-7.160904780191828,-14.812233236319287,-8.639697977281344,-8.074704957838293,-10.284818364275196,-1.7611168799138173,-4.793909502927445
3,1000,6,45,0,-19.678154275525685,-7.838409034826469,-8.500699575881555,-10.817310407825065,-1.8434051892048149,-8.068595569924128,-4.5023826249105525,2.215505523698681,-17.690602640248414,-6.367921510403562,-11.5427846716683,-7.085002552997054,-6.9724457139010845,-6.952754841959138,-0.7772680182000213,-2.4086845374113306
6,1000,2,28,0,-20.47230976880138,-5.133075513978895,-5.809250518531854,-8.274132907673277,0.4202350718001531,-2.5825347324575603,-3.612462069093482,-0.6368179653405264,-16.41458211523937,-1.6476918833817535,-6.219984250776804,-6.262600857982903,-4.178736236123439,-6.123611061222782,0.13315062505906738,-1.0014595937668573
5,1000,9,31,0,-18.356064846945145,-4.709559988955959,-5.300310700907858,-7.571451405279145,-0.7696630430043173,-2.775928329804856,-4.201574154018516,2.0936779815069713,-16.34189055493397,-4.8705845246869615,-10.542935862028912,-5.101270169968927,-3.5671794807858195,-5.286830563348418,-0.22256707680321572,-1.612058530187445
2,1000,1,43,0,-16.60181860322035,-5.808269998346816,-7.019990660613701,-7.717766311928594,-0.015453534436848076,-3.892106239611735,-4.634340676733956,1.2371605447756338,-14.039553652217819,-4.1150155746435075,-8.351603612811061,-5.229829554674296,-4.657157237483806,-3.669383159212098,-1.1332778568096233,0.2272381732002199
4,1000,3,41,0,-21.29411789247959,-6.0436667204305365,-6.729965196474666,-9.26921188102291,-0.5739050505132709,-6.276434277049219,-6.572282728573782,-3.295142545215384,-15.117059374459245,-4.983670341855429,-7.519453228886135,-7.369625404801184,-5.319531978212052,-7.337552140581264,-0.5515505160194303,-1.6206527774192085
9,1000,4,19,0,-18.788301856431673,-6.304808246027932,-7.429124323139945,-7.190526455544321,-0.9458307496174038,-4.7400236236479145,-4.659983751695734,-0.08402227380898353,-16.316700082981157,-3.7341990091460104,-9.522502464305916,-4.668913390701334,-5.227343081271317,-6.746166331101305,-0.7951285568365298,-2.387749778236622
10,1000,1,20,0,-20.87860053593286,-6.923577693126617,-7.804885178727176,-9.726537194542807,-2.292526822877853,-7.146937316117601,-6.820213075673479,-0.8728883284195774,-16.4230127848422,-3.9904725781321986,-7.730154847451416,-6.256294209539362,-5.715484374487407,-7.00427429660446,-1.5151989970241135,-3.0922893357178576
8,1000,3,25,0,-18.85266528095164,-6.110964122112193,-7.942708116528536,-8.146447561231225,-1.2898071304360508,0.7687670006748135,-4.24808171010514,1.2443197852251444,-15.825740203626935,-5.717573739244017,-9.370925546792705,-5.307880889236515,-4.138684884291699,1.1433558672884223,-0.7426083163066979,-1.6471512450884707
11,1000,3,37,0,-19.33491003797451,-4.371234257508462,-5.287721064426478,-5.682993076015535,-0.8267929448422106,-2.802112727519045,-1.519381792559983,1.6785614527361474,-13.741111268373146,-2.417438596398455,-4.25610064045901,-2.75759111261857,-3.1882580853940414,-2.53928278461739,8.915048768352977e-4,0.8055382588790215
12,1000,2,42,0,-21.74431456401615,-7.211416162527996,-8.751631382374228,-12.205980360345693,-1.1747938722810756,-7.341519359655706,-7.2916720288927195,-0.5779723108323651,-19.12761155355878,-3.677410740137276,-11.035406264623276,-6.6572040386954825,-6.313713671587029,-9.280283620892375,-1.1116021705165562,-3.189235258648491
13,1000,1,22,0,-20.46057242988917,-5.4787256146697985,-7.4065509590539875,-8.461835725047058,-0.56321387888496,-4.197806916986792,-4.032797186272177,0.6123518745165768,-14.372089585868508,-2.514394329393582,-7.161978165874018,-3.7652534350504823,-3.8742394028735596,-2.730240988231929,-0.8018176744887995,0.30487012690560517
14,1000,4,31,0,-25.138594998558347,-7.5196718227196016,-8.862150497190953,-10.894129517406524,-0.9351941092405258,-6.969594458074454,-5.7747753372291015,3.8424209321436535,-20.000439882331023,-7.830882564380261,-12.778211446227914,-6.991359484156419,-6.431640382216612,-8.080209108585256,-0.7509005426728521,-3.2715732524971624
16,1000,3,45,0,-23.230877149353745,-9.081785661410038,-11.53521542733759,-13.520192389857028,-0.8574592550319892,-10.653459693020778,-8.094362287288561,-2.2926439890975416,-20.288018244004917,-7.192796365399943,-12.972173018771002,-8.804423887165115,-8.0915111018572,-10.67577695153255,-0.949945015157327,-3.8134230657253028
15,1000,9,49,0,-20.28948709969768,-8.475759722766128,-8.256812185930386,-10.328947913524033,-1.9800464480036466,-7.978003014842841,-6.602247579782528,-1.917206611460756,-14.009772361715193,-3.4254294427136927,-5.294338706161824,-5.390386120449534,-6.633024058582142,-5.427888700718263,-1.1149552623712575,-3.322342924429098
18,1000,6,42,0,-17.457758353359054,-5.385760226402738,-5.585624189267264,-6.6142524812911025,-0.1947437571334218,-3.473870541253831,-3.781617424615092,2.6987958980721487,-12.21277205073386,-2.3104087479880775,-6.052182666688651,-4.101233579647101,-3.849938160227797,-5.551403771470259,0.16085254793247927,-1.2698787621223695
17,1000,8,43,0,-21.685385094854382,-5.719134919175076,-8.781391384441037,-8.839798553062721,-0.7708705225324154,-5.448128680298709,-5.856227352573427,2.3608913145524753,-15.174026500901789,-4.376024747444234,-8.110336308494254,-5.9843602169756025,-4.541700931226817,-6.444710483961419,-0.404465534572997,-1.6412709814424498
19,1000,3,39,0,-17.509437822862623,-6.0520510854083795,-7.0889583756174375,-8.094361770289382,-0.37306329445326775,-6.251939715267042,-4.213726742941532,-0.6964261627094288,-12.470466813782366,-4.0104698996988475,-5.586390406401193,-5.896611222041997,-4.5781022764830785,-5.663240249440448,-0.26735013454359025,-1.657716491397356
21,1000,4,46,0,-14.661894219268731,-6.151982876978735,-7.604597306774792,-7.697957928955929,-0.889997232433339,-5.740997266088982,-3.7648864136891405,2.313671696910859,-13.584636503110659,-3.4520898180211077,-7.261597502657793,-5.1830467824509014,-4.042228819629773,-2.1995635224901293,-0.5441560081227323,0.9411692546178855
20,1000,4,57,0,-19.692256276112033,-8.256499294598854,-10.199710480824166,-10.512995926151357,-0.9323431726809116,-11.093909851122078,-6.637431940841765,-2.1272805326941864,-14.665093788550365,-4.302132027673821,-5.78600741061706,-6.334419902061228,-7.1279698085314065,-8.582012153128494,-0.5944501674615362,-3.548625145710252
24,1000,5,41,0,-16.661972037840115,-4.747438257687492,-4.764399239280323,-6.951845278187678,-0.5461067068480377,-3.534058055087229,-4.156081222042957,2.767657885668342,-13.50843761277315,-2.0896289888613637,-6.473668672092202,-4.335032959784627,-3.861834914369137,-5.371101039203163,-1.0252989886112172,-0.9482777300872478
23,1000,8,45,0,-22.292681482900065,-5.406288053704628,-8.66358818670048,-7.487590700529629,-0.6096801198605273,-5.919312588198238,-1.6716164272320952,1.3954694363852411,-13.241394226377025,-3.1144205450939353,-4.031746313556397,-5.076270391837085,-5.077681437750384,-1.802191543817825,-0.3858629281037839,-1.1981924135619184
22,1000,3,31,0,-22.637009749419065,-7.053423603785433,-8.335652514551896,-10.220707145507662,-1.1384387249170747,-7.103501207208751,-5.975355700797138,-0.45430431200176713,-16.1321885745692,-4.762173874184924,-9.588420961673421,-6.013096763447521,-5.444794151879959,-8.069360571368437,-0.7022561943442595,-1.8789323190865437
25,1000,6,33,0,-19.43167722100185,-6.007915825302092,-7.771698235195913,-7.483582529814626,-1.4146769573128413,-5.928002637558109,-5.581133289451401,-0.5127296592039841,-13.141703998097057,-2.6896030917361884,-5.154715528274721,-4.130135192880431,-5.060466742903715,-6.420348524672517,-0.7845033708379915,-2.79873485841655
26,1000,5,25,0,-20.89642327410104,-5.929284220251077,-8.076222571680319,-8.343898331054184,-0.8498504566365376,-6.309786495465289,-5.735176311598963,1.0343322760510887,-15.895816172241013,-6.48180354809881,-9.31178866790981,-4.789572714039053,-4.960096526606848,-5.972251261414109,-0.6176611192914726,-1.3935038546790692
28,1000,3,28,0,-18.78459541499393,-7.156489518820507,-8.500191745156656,-8.879993169121494,-0.7942422369337482,-6.8833831435017885,-6.03731342291897,0.8671816439921827,-16.725298892427986,-6.627161484436442,-11.610760787283851,-6.371380669502855,-6.365138752325531,-8.360857706340102,-0.233179850768721,-2.9060073837722613
27,1000,2,43,0,-20.90837309408093,-7.703180421414572,-8.563517564520339,-9.722762490884735,-2.4199451729019597,-7.373728432981721,-7.459081992535488,-1.8526540613131033,-14.645141775112762,-4.400771751422241,-7.208059820684582,-5.841114514572638,-5.948069140914942,-1.985622335368888,-1.6126394772208945,-3.6572524343394064
30,1000,2,36,0,-22.163313698906734,-5.723270814083179,-8.376989651148136,-8.003558110463421,-1.2413263280268088,-4.025753782985106,-5.150878850790434,0.3189115274346932,-15.663424505468925,-3.331210906152478,-8.304918327987536,-5.550012853255765,-3.977086842966961,-3.783033580515803,-0.9294442185474089,-2.9116538250102555
29,1000,6,58,0,-20.57129941534265,-6.023580049515658,-7.383931658444737,-8.355592296941966,-0.7293375683080313,-6.541575113919947,-4.833323636457607,0.5395377184564722,-15.815994609203443,-5.100386032144684,-10.164543958448832,-4.944947312089482,-5.098876108473449,-4.74485130620382,-0.18227614139368173,-1.8716654107801884
32,1000,4,42,0,-21.186060619147355,-7.718198562283817,-10.082298488552283,-9.210927749579314,-1.473876050845409,-7.573655850120872,-3.2823830627785924,2.4611924989397096,-17.298189092000428,-2.962667205301244,-6.669762547219591,-8.778926515328067,-6.330039954503709,-7.402375362930843,-1.0283045032960358,-2.6805938141966745
31,1000,1,41,0,-21.098202582646365,-5.179677940686986,-7.516250113008368,-6.793217277148545,-0.045039043912812514,-2.932151375505015,-4.259902304530101,0.031687934847269617,-11.659739228589814,-3.5320709912574273,-5.4972097207023864,-4.165560781278742,-3.375399338468325,-3.205108299891796,-0.5941018632600832,-1.244802927968672
33,1000,3,42,0,-19.124115559491344,-5.073345523111499,-6.600975399080909,-6.7895946210196545,-0.7446009197489419,-4.59578287456111,-3.5597708415358795,-0.4913702435280811,-9.550146889565525,-1.2976664143746461,-1.7417888275279836,-3.185113381109886,-3.5571892404112946,-4.326992705184129,-0.6714674556453518,-0.9230010689205935
35,1000,7,35,0,-20.232856505753745,-6.0638672872980806,-6.863016414784113,-9.076429122608559,-0.9530856802105454,-4.601922050396411,-4.702439725748832,-0.6121605696653489,-13.963952446126711,-3.9157331907148887,-6.6861890501493235,-5.198998780550255,-5.369033047284814,-6.766959896630851,-0.7885814264297916,-2.322319539032814
34,1000,3,47,0,-19.822655180582274,-6.478743629428038,-8.367640606389301,-9.820066513560219,-1.332689477794829,-8.592719140905587,-3.9663591770641915,-2.3246826864708794,-16.404582146158475,-5.506787876631023,-10.657499376818578,-6.878840987414918,-5.678249526546463,-7.40444679592232,0.6397820195337899,-1.5828087861530484
36,1000,7,21,0,-17.17341382152142,-5.962786158991605,-7.631136163328449,-6.956775733226566,-1.7104368725976462,-5.344844272024716,-6.0396949497177275,1.7342917948642764,-14.069430827691207,-4.956755200805873,-7.909986092838466,-6.066239673917323,-4.114181184826255,-5.09744969087883,-1.3316349005811459,-2.365474608991514
37,1000,5,45,0,-17.195187498009858,-6.318241542780527,-7.824355357587848,-7.617458968824371,-0.6885509030175684,-6.355149047401028,-5.861888923735876,-1.0318694717220183,-14.258305620596502,-6.273469755108607,-8.643437215495425,-6.754347102881326,-5.309736519520094,-4.517570062362264,-1.8008944668405944,-2.0864194360918007
38,1000,5,40,0,-20.998955273488292,-5.867199187540592,-7.8704234208862545,-7.5173343222120055,-2.146002711827266,-5.281465804806373,-3.077834158843274,-3.2637278530168317,-16.08887127369414,-4.6389007768358965,-7.3442634952072865,-7.083662834758059,-4.816669972172097,-5.7833091959063605,-1.1200626954936856,-0.8580464579151058
39,1000,4,49,0,-22.097740108600306,-7.15901891611577,-8.424572357893936,-8.074708316858421,-0.5509121447260833,0.7248942417201931,-4.866188284867349,2.9937841091291375,-16.68663556179854,-2.4032014638577834,-7.510015599606362,-3.390608873458575,-5.8833940297619876,-5.747898748510359,-1.3441844971259793,-1.02293585199558
41,1000,13,55,0,-16.468496759207824,-4.83251459703385,-5.953549013436941,-7.9955781829758665,-0.6923068458883477,-3.814351216930959,-4.5403048058101945,-0.9688688324506245,-10.538365033914147,-1.5576478442725943,-2.093247117293288,-5.32334553223194,-4.6809705777102115,-7.028905113145058,-1.1902782941856749,-1.9406360832984664
40,1000,5,26,0,-19.835948425351148,-6.956050440938753,-9.71610703034898,-8.73519450115273,-2.1530670326794747,-3.2301777257867172,-5.444315590902534,0.32952605043305994,-16.61106972296014,-7.486186375367851,-8.743620159673782,-6.149703311151939,-5.9207415758483055,-7.38769416707251,-1.181463063982339,-2.7998563677507264
42,1000,6,48,0,-16.497694687336917,-5.055708205877039,-5.739914628436111,-6.564107735159493,-0.43426015645243543,-5.207302969435233,-3.2536694483981705,1.061451821670147,-15.016692482798476,-3.6961686645641123,-6.359451590509195,-5.032087355301826,-3.9718304389344117,-5.522237690862104,-0.5181999719826595,-1.5477249601661067
46,1000,5,29,0,-22.987516687128334,-7.5369782936034255,-7.925838337230886,-11.358548760763156,-1.498887736539086,-6.583267826614673,-5.575201390207496,0.09185051499866859,-21.301745059616565,-8.367098350407645,-15.37170160487318,-8.374692528862624,-6.303144018039754,-7.002420024148646,-1.477064776512121,-2.7509414426830423
45,1000,7,31,0,-19.56214328304162,-5.501736094259769,-6.896129285050819,-8.070733092534025,-0.03162670470025505,-3.48121991192545,-4.7636156476491465,-0.8355775374161283,-12.942466301258179,-3.483121725272838,-7.078644177122982,-3.649601850001403,-4.387623596923614,-5.726584000660031,0.2567609497287476,-2.044154934074773
43,1000,8,35,0,-19.332745920606158,-6.745563864389908,-6.8023650802919065,-8.195875936930564,0.1726672662557628,-5.19698742296643,-4.576585488009982,-0.07761331286062045,-18.486296306181004,-2.7210112992036954,-4.175389424631476,-6.551296186446848,-5.370222463523728,-7.241503807865125,-0.10557535890737575,-1.0588751899388973
44,1000,4,33,0,-19.37219159893087,-6.6270569044881995,-8.555031836064671,-8.461139731957497,-2.1420879896654217,-6.820820288569962,-5.985418088913434,-2.026715688544101,-17.122081232669586,-4.640353136303872,-9.245068463644458,-6.63572008694365,-5.4032284685462235,-6.7275729512084075,-1.3357802292136083,-2.6000016257277743
47,1000,4,29,0,-21.798363613017187,-7.834165226623497,-10.10332525843316,-9.921129074437436,-1.542904590760829,-7.498682627307915,-7.157761387714686,-1.7506589312554013,-17.818791490174533,-5.743927946184783,-8.800710223213855,-6.449039656011166,-6.248306538970219,-7.244740412485489,-0.3920556039144822,-2.4285518148037633
48,1000,4,20,0,-19.826512343121493,-5.558680562605048,-6.235617999421635,-8.325220314375649,-0.8078753918064993,-3.59010675184507,-4.5220017939318495,2.4098308580035734,-16.003343628039715,-3.366341781993839,-11.01186256016203,-4.638253412971608,-3.835452290255732,-5.818851863587821,-0.26683542798695353,-1.3641789823869346
49,1000,7,55,0,-17.00609380556631,-7.0246302587095215,-9.040289760199556,-11.305959653515174,-0.7218075418926319,-7.967458364196631,-6.128722448821634,-2.8865085588380737,-17.377796738472256,-7.412302473535902,-13.18804138710587,-7.563598300741887,-5.337455253231135,-8.726128947747608,0.6067116543412538,-2.5258564596548223
50,1000,4,49,0,-18.127308850668413,-6.05474543462924,-5.7945481805153065,-8.041839421382184,-0.8422660867910562,-5.371135916689013,-3.51067019651947,2.366112804914735,-14.779693748356635,-4.3569126013734945,-7.384990588023271,-5.796075927727486,-5.417906012561498,-6.12620852333812,-1.0481545890348016,-1.3043856129785318
51,1000,0,44,0,-18.680998063392423,-7.02523471612156,-8.409852811732094,-9.035055827989952,-0.605049188994468,-6.753209271029959,-3.3160844349825425,4.169313907235761,-15.912364971714908,-4.764504691614746,-10.173904398161142,-5.706563698856002,-5.6605265252561505,-6.205666065487785,-0.3775788949634044,-1.285347402272064
52,1000,4,46,0,-18.566661856493283,-6.299863486589572,-8.263200906871674,-8.244147290728549,-1.0696920852608487,-5.5438515375444695,-4.872026789046487,3.775952508608782,-14.651129920103614,-5.374203196373202,-8.525543494363632,-5.237945973486717,-4.636524568276952,-5.527382205604811,-0.7357822433685682,-2.1116924736734863
54,1000,7,27,0,-17.31236893406478,-6.976140415693919,-8.487664816147827,-8.592985184624725,-0.537683686156837,-6.767073837768493,-4.714697535008838,0.7822055979196136,-13.309060370006875,-3.6739644756589485,-4.423935257431651,-5.142266603614473,-5.237614035266897,-7.397786213724398,-0.9588818184456424,-2.5756925998344644
53,1000,7,46,0,-24.14903907260225,-9.647555723176964,-11.993081014915617,-10.944054232009194,-3.613573378018373,-10.419181903930678,-7.67662479299247,-4.946670360446973,-18.77267465019284,-5.31067234519702,-11.401685921829795,-8.010988259794658,-8.748011288699084,-10.775362428746021,-1.7400227846481315,-4.804368652856163
55,1000,1,29,0,-18.199316365811796,-4.115779984618172,-5.425388549249703,-4.977142176690914,-0.6572017578030567,-2.2967504774369445,-3.0131181013247215,0.5931940649260525,-10.89357067037841,-2.3812287933729124,-4.226693908301428,-2.6978504168479844,-2.8887709585566106,-2.9827781065379337,-0.1783819529981787,-0.743814762921452
56,1000,3,39,0,-17.092125410723156,-5.202968954321761,-6.073890860953043,-6.741197652069639,-1.886781230191679,-4.726203010222633,-5.147888226697802,2.4532740332977028,-12.889270023884023,-3.5834879080761937,-4.064745646841629,-5.214941954820858,-3.8992991787811175,-4.576668617866273,-0.9200927037088933,-2.705389499141412
