id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,time_on_matching,time_on_bootstrap
1,toy,naive,3.0199728796866863,3.1686415227374027,3.1686229677139424,2.855109073587056,3.4821368618408286,1,0.15995606843208493,1,linear,1.5059999999994034,32.08300000000054
2,toy,naive,2.898547742582199,3.134008875631171,3.134008875631169,2.916005462372802,3.352012288889536,0,0.11122623125426895,1,linear,1.5519999999996799,31.570999999999913
3,toy,naive,3.0671397534299345,3.1645131584034063,3.164513158403442,2.869821772960563,3.4592045438463206,1,0.15035274767493806,1,linear,1.6200000000008004,29.80699999999888
4,toy,naive,2.9329590741575484,3.219369679383803,3.219369679383787,2.982780049045317,3.4559593097222567,0,0.12070899507064783,1,linear,1.390000000001237,29.895000000000437
5,toy,naive,3.0390668865622934,3.1356183177722006,3.1353041966849915,2.922761797274597,3.347846596095386,1,0.10843999969918089,1,linear,1.684000000001106,32.21599999999853
6,toy,naive,3.0228721201955664,3.1287433239217783,3.128743323921775,2.8047424974695456,3.452744150374004,1,0.16530654410828008,1,linear,1.6610000000000582,30.0520000000015
7,toy,naive,3.1154316023982567,3.1591596495676217,3.1592308118455987,2.8091012633037704,3.509360360387427,1,0.17863752476623887,1,linear,1.4140000000006694,28.590000000000146
8,toy,naive,2.9679096803299965,3.006284027399233,3.0062796866256836,2.785879428823564,3.226679944427803,1,0.11244911112353033,1,linear,1.47400000000016,29.51800000000003
9,toy,naive,2.8965978603328897,3.1235183372161677,3.123517392178271,2.8612476823130906,3.385787102043451,1,0.13381107646182663,1,linear,1.4030000000002474,31.59099999999853
10,toy,naive,3.1128156813969814,3.045525870263484,3.045525870263483,2.639600683858463,3.4514510566685033,1,0.2071046869413367,1,linear,1.6170000000001892,31.440999999998894
11,toy,naive,3.0520259616242478,3.2646214674229146,3.264644151243202,3.0066750577425636,3.5226132447438405,1,0.13161688443910116,1,linear,1.543999999999869,31.82600000000093
12,toy,naive,2.8801335273907833,3.1166043406566803,3.1167224272079834,2.894484766184419,3.338960088231548,0,0.1133865617467166,1,linear,1.4680000000007567,31.771999999999025
13,toy,naive,3.0115681699048897,3.107123492628408,3.1071267425874054,2.829326186529557,3.3849272986452537,1,0.14173497758053472,1,linear,1.6120000000009895,33.047999999998865
14,toy,naive,3.0450731856844957,3.235977508706802,3.2359497830905246,2.9304416169005734,3.541457949280476,1,0.15587151336221997,1,linear,1.6270000000004075,31.962999999999738
15,toy,naive,2.968875873312316,3.1244587833644495,3.124458783364451,2.8172548692854043,3.4316626974434974,1,0.15673669085665645,1,linear,1.4439999999995052,32.801000000001295
16,toy,naive,3.060706876331782,3.21262035583825,3.2126203558382316,2.96941447938216,3.455826232294303,1,0.1240846308449343,1,linear,1.547999999998865,31.332000000000335
17,toy,naive,3.157408292193145,3.2789285289106322,3.2789285289106354,3.078678691107209,3.479178366714062,1,0.10216828459358508,1,linear,1.5609999999996944,31.191000000000713
18,toy,naive,3.023487574700579,3.2739986648446946,3.2740060912516333,3.0127188768912028,3.535293305612064,1,0.13330980324511754,1,linear,1.5820000000003347,31.28399999999965
19,toy,naive,3.034397254923716,3.2732376975791633,3.273237697579164,2.9669151426476823,3.579560252510646,1,0.1562870178221846,1,linear,1.5749999999989086,31.236000000000786
20,toy,naive,3.026596539350686,3.1053090267856724,3.1052915029944406,2.843029397641077,3.367553608347804,1,0.13380719660885906,1,linear,1.4540000000015425,31.438999999998487
1,toy,naive,3.0199728796866867,3.0345408831278915,3.034540883127892,2.770730370580783,3.298351395675001,1,0.1345972002791373,1,linear,2.1669999999994616,36.94200000000092
2,toy,naive,2.898547742582199,3.0348799923422813,3.0348799923422796,2.785585054794431,3.284174929890128,1,0.12719129466726975,1,linear,2.0309999999990396,34.95800000000054
3,toy,naive,3.067139753429935,2.922912048955345,2.9229120489553226,2.6819800541594567,3.1638440437511886,1,0.12292448714074782,1,linear,1.7639999999992142,34.95600000000013
4,toy,naive,2.9329590741575484,2.9783476744715607,2.9783476744715482,2.695903876031935,3.2607914729111616,1,0.14410397879572104,1,linear,1.7449999999989814,38.26599999999962
5,toy,naive,3.0390668865622934,3.146498257171853,3.146498257171852,2.862449040211994,3.43054747413171,1,0.14492306987747855,1,linear,1.6769999999996799,34.181000000000495
6,toy,naive,3.022872120195567,3.23072897196542,3.230728971965439,2.9652864813537927,3.496171462577085,1,0.135429842148799,1,linear,1.731999999999971,34.012000000000626
7,toy,naive,3.1154316023982567,3.157173947185564,3.156830270377145,2.8692186126991004,3.4444419280551895,1,0.14674064167247167,1,linear,1.6939999999995052,33.3169999999991
8,toy,naive,2.967909680329997,3.003851329942348,3.0038513299423304,2.7927236282805756,3.214979031604085,1,0.1077182151335484,1,linear,1.7409999999999854,34.01900000000023
9,toy,naive,2.8965978603328897,3.015627480281508,3.0156274802815046,2.772042598176013,3.259212362386996,1,0.12427800107423032,1,linear,1.7080000000005384,33.48199999999997
10,toy,naive,3.1128156813969814,3.1577215862846186,3.1577215862846044,2.853096010029864,3.462347162539345,1,0.15542121237486764,1,linear,1.75,35.449000000000524
11,toy,naive,3.052025961624248,3.1047050117398003,3.104705011739816,2.844298682839569,3.3651113406400626,1,0.1328603718878809,1,linear,1.7659999999996217,34.3130000000001
12,toy,naive,2.8801335273907833,2.7610735656728114,2.7610735656728216,2.4796294640739984,3.0425176672716447,1,0.1435939293871547,1,linear,1.728000000000975,34.69499999999971
13,toy,naive,3.0115681699048897,3.165009560934908,3.1650095609349003,2.931489442216697,3.3985296796531035,1,0.11914291771336899,1,linear,1.6900000000005093,34.60099999999875
14,toy,naive,3.045073185684496,3.2027639991167787,3.202763999116784,2.932646382047512,3.472881616186056,1,0.13781511074962863,1,linear,1.7439999999987776,34.327000000001135
15,toy,naive,2.9688758733123164,3.0896780410205,3.0896780410204694,2.900617907186431,3.278738174854508,1,0.09645925195614205,1,linear,1.6630000000004657,33.63299999999981
16,toy,naive,3.060706876331782,3.064169299506851,3.0641692995068444,2.7956156828522185,3.33272291616147,1,0.13701715135440093,1,linear,1.9459999999999127,33.96899999999914
17,toy,naive,3.157408292193145,3.096337325979256,3.0963373259792557,2.84714225965313,3.3455323923053815,1,0.127140339962309,1,linear,1.610000000000582,33.9479999999985
18,toy,naive,3.023487574700579,3.4130125410273635,3.4130125410273977,3.108319806613883,3.7177052754409123,0,0.15545547674158905,1,linear,1.6900000000005093,34.35900000000038
19,toy,naive,3.034397254923716,3.3754342672819986,3.3754342672819972,3.1752077406723505,3.575660793891644,0,0.1021563911273708,1,linear,1.679999999998472,34.8070000000007
20,toy,naive,3.026596539350686,3.225892573444911,3.2258925734449297,2.9106647555531837,3.5411203913366758,1,0.16083051933252349,1,linear,1.7269999999989523,34.736000000000786
