id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,,
1,toy,Bayesian,3.01997288,3.007175326,3.006969544,2.682212337,3.34768055,1,,1,,,
2,toy,Bayesian,3.017287534,3.257163391,3.257533858,2.914128054,3.528953904,1,,1,,,
3,toy,Bayesian,3.053291317,3.24362323,3.243568904,2.967983439,3.50554331,1,,1,,,
4,toy,Bayesian,3.063377266,3.103265929,3.102575228,2.758867915,3.450486403,1,,1,,,
5,toy,Bayesian,2.979563466,3.039030386,3.038788958,2.703866478,3.371618973,1,,1,,,
6,toy,Bayesian,3.085992957,3.223246588,3.223063683,2.893653862,3.582243609,1,,1,,,
7,toy,Bayesian,3.113835302,3.251727949,3.25206928,2.944823899,3.552235524,1,,1,,,
8,toy,Bayesian,3.060336306,3.21369918,3.213583167,2.862475737,3.529301231,1,,1,,,
9,toy,Bayesian,2.848498047,3.037642914,3.037663151,2.689695945,3.374266206,1,,1,,,
10,toy,Bayesian,3.111684883,3.219754571,3.21980235,2.884003238,3.533001945,1,,1,,,
11,toy,Bayesian,3.025489045,3.146417949,3.146406862,2.871125013,3.463500487,1,,1,,,
12,toy,Bayesian,3.135537867,3.221713465,3.22191353,2.868583563,3.555818914,1,,1,,,
13,toy,Bayesian,2.998782707,3.092476056,3.092442804,2.809439584,3.426738055,1,,1,,,
14,toy,Bayesian,2.928033501,2.990620119,2.99047734,2.691565172,3.327087756,1,,1,,,
15,toy,Bayesian,3.064311738,3.083608712,3.083505919,2.82337301,3.395760286,1,,1,,,
16,toy,Bayesian,2.993267947,3.253579167,3.253884403,2.893981444,3.603602445,1,,1,,,
17,toy,Bayesian,3.077412745,3.308643262,3.308629067,2.984683643,3.62663024,1,,1,,,
18,toy,Bayesian,2.946027333,2.973756171,2.973812007,2.670449869,3.301822546,1,,1,,,
19,toy,Bayesian,3.008892353,3.046756016,3.046352191,2.716571677,3.333571635,1,,1,,,
20,toy,Bayesian,3.035475968,3.163700137,3.163560475,2.878469302,3.435340382,1,,1,,,
21,toy,Bayesian,3.014325768,3.112956266,3.113065941,2.804609632,3.392957253,1,,1,,,
22,toy,Bayesian,2.901548753,3.092446768,3.092070518,2.71672781,3.422242282,1,,1,,,
23,toy,Bayesian,3.035979011,3.084074296,3.083962686,2.788148944,3.321276563,1,,1,,,
24,toy,Bayesian,3.061945231,3.094685941,3.094809641,2.753753564,3.407812204,1,,1,,,
25,toy,Bayesian,2.990003398,3.200684923,3.200704987,2.906237338,3.508712539,1,,1,,,
26,toy,Bayesian,3.199347164,3.173619435,3.173616999,2.9016974,3.464336713,1,,1,,,
27,toy,Bayesian,2.864618775,3.092913101,3.092954094,2.825088202,3.406410554,1,,1,,,
28,toy,Bayesian,3.032150804,3.161405125,3.161499707,2.857453072,3.441994542,1,,1,,,
29,toy,Bayesian,3.021630611,3.138407834,3.138398265,2.818260544,3.437687447,1,,1,,,
30,toy,Bayesian,2.997400122,3.215802857,3.215756839,2.921184627,3.529445244,1,,1,,,
31,toy,Bayesian,3.031826865,3.074907181,3.074907181,2.75151797,3.415531007,1,,1,,,
32,toy,Bayesian,3.028922608,3.017070038,3.017479027,2.71485328,3.335159165,1,,1,,,
33,toy,Bayesian,2.965302112,2.983020742,2.983039307,2.696581241,3.293760676,1,,1,,,
34,toy,Bayesian,3.050735816,3.219418203,3.219391579,2.886380114,3.513562996,1,,1,,,
35,toy,Bayesian,2.847223299,3.064253191,3.064275715,2.738898972,3.373102194,1,,1,,,
36,toy,Bayesian,2.858779644,3.106095098,3.105824169,2.769027953,3.403533623,1,,1,,,
37,toy,Bayesian,2.948306589,3.091132059,3.090878074,2.723201711,3.520418009,1,,1,,,
38,toy,Bayesian,3.161948118,3.143045035,3.14289249,2.861020674,3.433267542,1,,1,,,
39,toy,Bayesian,3.009586616,3.184425749,3.185258035,2.883368316,3.509447957,1,,1,,,
40,toy,Bayesian,2.953456477,3.230466074,3.23027983,2.923590671,3.537034659,1,,1,,,
41,toy,Bayesian,2.863947254,3.079566114,3.079564855,2.707089908,3.468777569,1,,1,,,
42,toy,Bayesian,2.984963894,2.983929616,2.983919817,2.667678921,3.317526498,1,,1,,,
43,toy,Bayesian,3.041225763,3.251605332,3.251625904,2.950213216,3.560282804,1,,1,,,
44,toy,Bayesian,2.936701543,3.196090448,3.197811983,2.889973117,3.479457557,1,,1,,,
45,toy,Bayesian,3.078477094,3.278743584,3.27871085,2.978716545,3.617557782,1,,1,,,
46,toy,Bayesian,3.070828801,3.135816136,3.136316032,2.84898553,3.452643576,1,,1,,,
47,toy,Bayesian,2.918113129,3.078305535,3.078774007,2.795011579,3.404154323,1,,1,,,
48,toy,Bayesian,3.027072873,3.232486727,3.236394901,3.012773774,3.490012789,1,,1,,,
49,toy,Bayesian,3.07082049,3.119709611,3.1198411,2.816465159,3.458908442,1,,1,,,
50,toy,Bayesian,2.912829814,3.161124367,3.161726187,2.884498717,3.478068915,1,,1,,,
51,toy,Bayesian,2.953709446,3.102382576,3.102505541,2.816569108,3.390590252,1,,1,,,
52,toy,Bayesian,3.18301954,3.194052571,3.193369224,2.846383297,3.500532822,1,,1,,,
53,toy,Bayesian,3.148416647,3.362874225,3.362797425,3.040865002,3.648996366,1,,1,,,
54,toy,Bayesian,2.795240703,3.046508913,3.046794832,2.762048042,3.367742991,1,,1,,,
55,toy,Bayesian,3.015242202,3.127283604,3.127229985,2.831155963,3.471491257,1,,1,,,
56,toy,Bayesian,2.939100579,3.069556859,3.070011569,2.755736309,3.360582125,1,,1,,,
57,toy,Bayesian,3.032103682,3.260581298,3.260140931,2.967040286,3.555963833,1,,1,,,
58,toy,Bayesian,2.950063771,3.11443066,3.11437832,2.785269472,3.413799202,1,,1,,,
59,toy,Bayesian,3.071221918,3.225170276,3.225395153,2.9411091,3.53723159,1,,1,,,
60,toy,Bayesian,2.948102068,3.110113685,3.11017241,2.808271779,3.414943978,1,,1,,,
61,toy,Bayesian,2.993417093,3.358261609,3.358263927,3.084609231,3.672083776,0,,1,,,
62,toy,Bayesian,3.075657488,3.230365407,3.230366068,2.964730694,3.492800211,1,,1,,,
63,toy,Bayesian,2.954646288,3.184814619,3.184837533,2.9106502,3.549092853,1,,1,,,
64,toy,Bayesian,3.152513845,3.235276084,3.235373206,2.954521497,3.539891343,1,,1,,,
65,toy,Bayesian,3.018786446,3.259447089,3.260301192,2.927723369,3.502486793,1,,1,,,
66,toy,Bayesian,2.99600956,2.994831998,2.994847033,2.674883777,3.334458972,1,,1,,,
67,toy,Bayesian,2.995859332,3.181616613,3.182243937,2.866965458,3.470763822,1,,1,,,
68,toy,Bayesian,3.011153638,3.123492766,3.123686269,2.791961586,3.474156421,1,,1,,,
69,toy,Bayesian,3.02790586,3.193688679,3.193636431,2.896985967,3.465818165,1,,1,,,
70,toy,Bayesian,3.044935725,3.307549127,3.307459848,3.007260546,3.597160647,1,,1,,,
71,toy,Bayesian,3.106121897,3.118412978,3.118448998,2.810079798,3.415968343,1,,1,,,
72,toy,Bayesian,3.036281151,2.937894543,2.93857095,2.615648242,3.279767367,1,,1,,,
73,toy,Bayesian,2.999736008,2.995738136,2.995833351,2.667728103,3.310247832,1,,1,,,
74,toy,Bayesian,2.896094745,3.079521269,3.079436518,2.75978235,3.403118259,1,,1,,,
75,toy,Bayesian,2.925583805,3.313012044,3.312754238,3.014679105,3.633677967,0,,1,,,
76,toy,Bayesian,2.993299997,3.105068839,3.105227325,2.84810756,3.393363435,1,,1,,,
77,toy,Bayesian,3.036843797,3.304213029,3.304299698,2.983336891,3.683245641,1,,1,,,
78,toy,Bayesian,2.977271434,3.024035711,3.023804151,2.684671476,3.281574939,1,,1,,,
79,toy,Bayesian,2.856251564,2.917599121,2.917517474,2.601249634,3.264525089,1,,1,,,
80,toy,Bayesian,3.01465824,3.07166304,3.072569192,2.692422288,3.388472689,1,,1,,,
81,toy,Bayesian,3.008359246,3.283923125,3.283865067,3.002603868,3.617685315,1,,1,,,
82,toy,Bayesian,2.957531474,3.001567014,3.001756923,2.670780392,3.332277047,1,,1,,,
83,toy,Bayesian,2.932300299,3.377352894,3.377255529,3.097826082,3.714427048,0,,1,,,
84,toy,Bayesian,2.872818696,2.927017252,2.927427117,2.629889094,3.260414258,1,,1,,,
85,toy,Bayesian,2.952388952,3.191404492,3.191065354,2.87580203,3.536432283,1,,1,,,
86,toy,Bayesian,2.871690601,3.047385998,3.048326712,2.818084549,3.296036099,1,,1,,,
87,toy,Bayesian,2.964683631,3.055646801,3.055534769,2.676449069,3.342483705,1,,1,,,
88,toy,Bayesian,2.958590474,3.017521665,3.017585332,2.700137791,3.316690634,1,,1,,,
89,toy,Bayesian,3.007001229,3.141191157,3.141139815,2.876580302,3.4538962,1,,1,,,
90,toy,Bayesian,2.996040143,3.269545064,3.269471916,2.980541849,3.624028342,1,,1,,,
91,toy,Bayesian,2.948709605,3.111402454,3.111484693,2.785971321,3.374335233,1,,1,,,
92,toy,Bayesian,2.86547949,2.86875548,2.868668737,2.540194636,3.187177973,1,,1,,,
93,toy,Bayesian,2.966020158,3.110713738,3.11142937,2.832760059,3.45720761,1,,1,,,
94,toy,Bayesian,2.947844925,3.131834952,3.131833196,2.8480636,3.431553677,1,,1,,,
95,toy,Bayesian,2.875624653,3.181568696,3.18117119,2.815336997,3.547493736,1,,1,,,
96,toy,Bayesian,3.017798336,3.323465619,3.32343043,3.026759674,3.594259384,0,,1,,,
97,toy,Bayesian,3.017940004,3.250680188,3.250768657,2.895519493,3.602558515,1,,1,,,
98,toy,Bayesian,2.853562485,2.908047561,2.908073915,2.629769591,3.233932162,1,,1,,,
99,toy,Bayesian,2.876276052,3.137957127,3.137988728,2.806240279,3.466372709,1,,1,,,
100,toy,Bayesian,2.915122357,2.854059102,2.855207423,2.496954156,3.151874073,1,,1,,,
1,toy,Naive,3.01997288,3.007175326,0,2.637846727,3.317720134,1,,1,,,
2,toy,Naive,3.035573788,3.030683429,0,2.788694717,3.348522735,1,,1,,,
3,toy,Naive,3.137222458,3.247791504,0,2.815352582,3.528054229,1,,1,,,
4,toy,Naive,2.941608247,3.019346516,0,2.748878089,3.333096717,1,,1,,,
5,toy,Naive,3.01943284,3.046480156,0,2.712152069,3.50130406,1,,1,,,
6,toy,Naive,3.033177804,3.166825194,0,2.835315828,3.484254279,1,,1,,,
7,toy,Naive,2.978150993,3.203771585,0,2.854719702,3.457805841,1,,1,,,
8,toy,Naive,2.944553997,3.141732019,0,2.696144926,3.371740058,1,,1,,,
9,toy,Naive,3.018076621,3.072233294,0,2.742988288,3.375205086,1,,1,,,
10,toy,Naive,2.889000416,3.086805368,0,2.812067939,3.428698125,1,,1,,,
1,Kang,Bayesian,0,-0.195139397,0.07826314,-1.261789183,1.203095041,1,,1,,,
2,Kang,Bayesian,0,0.286641532,1.469977659,0.180390062,2.632739034,0,,1,,,
3,Kang,Bayesian,0,-1.531105731,-0.950072693,-2.238788055,0.449789961,1,,1,,,
4,Kang,Bayesian,0,-1.456284984,-0.486128688,-1.510701544,0.611406104,1,,1,,,
5,Kang,Bayesian,0,-1.651708263,-1.593260253,-2.750131313,-0.549309585,0,,1,,,
6,Kang,Bayesian,0,4.388447939,5.290043991,3.739849947,6.942004004,0,,1,,,
7,Kang,Bayesian,0,1.456790353,2.092997161,0.841483157,3.315246792,0,,1,,,
8,Kang,Bayesian,0,-0.905681424,-0.694424321,-2.060036253,0.365850483,1,,1,,,
9,Kang,Bayesian,0,0.354746599,0.942831626,-0.147630181,1.940174139,1,,1,,,
10,Kang,Bayesian,0,0.799947148,1.16230912,0.04648483,2.375195566,0,,1,,,
11,Kang,Bayesian,0,3.284760595,4.371771179,3.207910758,5.616756981,0,,1,,,
12,Kang,Bayesian,0,2.39123009,2.755173391,1.518478704,4.013648892,0,,1,,,
13,Kang,Bayesian,0,-0.023380811,0.583344741,-0.613612875,1.642824134,1,,1,,,
14,Kang,Bayesian,0,0.665113883,1.556728019,0.27520844,2.671536446,0,,1,,,
15,Kang,Bayesian,0,1.715573103,2.703540387,1.538755425,3.795317255,0,,1,,,
16,Kang,Bayesian,0,-0.554859504,0.484829428,-0.606269541,1.727564798,1,,1,,,
17,Kang,Bayesian,0,1.594358865,2.280812555,0.967457102,3.758491373,0,,1,,,
18,Kang,Bayesian,0,1.050968422,1.769149377,0.496525443,2.995507876,0,,1,,,
19,Kang,Bayesian,0,3.628375664,4.018195565,2.929805906,5.310121831,0,,1,,,
20,Kang,Bayesian,0,0.599684006,1.066597363,0.102862424,2.253045576,0,,1,,,
21,Kang,Bayesian,0,-2.469515554,-1.697029487,-2.758157602,-0.485128556,0,,1,,,
22,Kang,Bayesian,0,0.471328794,1.334956155,0.054440614,2.609168852,0,,1,,,
23,Kang,Bayesian,0,0.247346403,1.383764402,-0.069789422,2.791658397,1,,1,,,
24,Kang,Bayesian,0,-0.630612633,-0.314532059,-1.62554438,0.879472664,1,,1,,,
25,Kang,Bayesian,0,4.590439236,5.444053434,3.714728037,7.253050857,0,,1,,,
26,Kang,Bayesian,0,-0.995269121,-0.388947037,-1.528140116,0.669128185,1,,1,,,
27,Kang,Bayesian,0,2.616007627,2.93429757,1.829165946,4.154963864,0,,1,,,
28,Kang,Bayesian,0,-0.621614912,0.39410235,-0.812663439,1.528984394,1,,1,,,
29,Kang,Bayesian,0,0.164965541,1.206057208,0.127097251,2.135340454,0,,1,,,
30,Kang,Bayesian,0,2.119098988,2.735115354,1.742898229,3.803092054,0,,1,,,
31,Kang,Bayesian,0,1.336193852,1.851500321,0.637399058,3.099347269,0,,1,,,
32,Kang,Bayesian,0,1.222726042,1.575235374,0.459439564,2.905089151,0,,1,,,
33,Kang,Bayesian,0,-1.61130857,-1.612678553,-2.770670959,-0.503950218,0,,1,,,
34,Kang,Bayesian,0,-0.472836942,0.110198631,-1.0811301,1.211993946,1,,1,,,
35,Kang,Bayesian,0,3.733603659,3.751661061,2.80216398,4.821583237,0,,1,,,
36,Kang,Bayesian,0,0.628482196,0.876311079,-0.139599638,1.854915404,1,,1,,,
37,Kang,Bayesian,0,-2.457958574,-1.718884453,-3.068187816,-0.579967261,0,,1,,,
38,Kang,Bayesian,0,-0.704129849,-0.252859914,-1.384194113,1.096134922,1,,1,,,
39,Kang,Bayesian,0,-1.503513993,-0.337503419,-1.521787646,0.967777796,1,,1,,,
40,Kang,Bayesian,0,0.53108538,1.500424163,0.313486039,2.831394598,0,,1,,,
41,Kang,Bayesian,0,-0.737141613,-0.2840381,-1.496618234,1.042322662,1,,1,,,
42,Kang,Bayesian,0,-1.334952648,-0.846003484,-2.124985528,0.56169615,1,,1,,,
43,Kang,Bayesian,0,2.482671942,2.728659299,1.688223471,3.84145837,0,,1,,,
44,Kang,Bayesian,0,1.292366911,1.800487834,0.529371695,3.265892438,0,,1,,,
45,Kang,Bayesian,0,1.287747056,1.685595874,0.236948798,3.432917468,0,,1,,,
46,Kang,Bayesian,0,1.057076494,1.980270372,0.768693724,3.166345886,0,,1,,,
47,Kang,Bayesian,0,-1.594327342,-0.900353516,-2.260774224,0.591142561,1,,1,,,
48,Kang,Bayesian,0,2.482823773,2.807208754,1.769362581,3.97587276,0,,1,,,
49,Kang,Bayesian,0,0.362864126,1.069828134,0.035180247,2.209384014,0,,1,,,
50,Kang,Bayesian,0,2.754495436,3.097469112,2.000943862,4.198613718,0,,1,,,
51,Kang,Bayesian,0,0.639678257,0.603944762,-0.685487684,2.012709432,1,,1,,,
52,Kang,Bayesian,0,2.033274195,2.446145476,1.038262879,3.530894901,0,,1,,,
53,Kang,Bayesian,0,1.661821767,1.866475034,0.404316922,3.489819181,0,,1,,,
54,Kang,Bayesian,0,1.724377632,2.102149979,0.698837305,3.179158983,0,,1,,,
55,Kang,Bayesian,0,-0.753661931,0.026523807,-0.984213171,1.112226048,1,,1,,,
56,Kang,Bayesian,0,4.432425519,4.369427794,3.202714753,5.433549962,0,,1,,,
57,Kang,Bayesian,0,0.539777193,0.980956948,-0.08808227,2.193224649,1,,1,,,
58,Kang,Bayesian,0,6.01E-04,1.239415571,0.055538826,2.611188557,0,,1,,,
59,Kang,Bayesian,0,5.485003849,5.305596729,4.089911072,6.39482397,0,,1,,,
60,Kang,Bayesian,0,1.035647999,1.825658546,0.510805392,3.121560443,0,,1,,,
61,Kang,Bayesian,0,-0.151857395,0.381740315,-0.713311162,1.411933226,1,,1,,,
62,Kang,Bayesian,0,0.824664451,1.225535767,-0.253960991,2.53259621,1,,1,,,
63,Kang,Bayesian,0,0.68156406,1.885136505,0.805485456,2.952190211,0,,1,,,
64,Kang,Bayesian,0,2.125656366,2.427965787,1.174402759,3.529389356,0,,1,,,
65,Kang,Bayesian,0,2.506772939,2.818566313,1.733052722,3.873830363,0,,1,,,
66,Kang,Bayesian,0,1.453545266,1.97881038,0.783246588,3.332344264,0,,1,,,
67,Kang,Bayesian,0,-0.384901222,0.005206322,-1.288901395,1.307515454,1,,1,,,
68,Kang,Bayesian,0,-1.144234952,-0.823588433,-1.98488146,0.321521413,1,,1,,,
69,Kang,Bayesian,0,1.666806176,2.391158141,1.199794286,3.663290053,0,,1,,,
70,Kang,Bayesian,0,-2.114187183,-1.357366465,-2.374413835,-0.238170489,0,,1,,,
71,Kang,Bayesian,0,2.134624494,3.05961266,1.881366506,4.311856026,0,,1,,,
72,Kang,Bayesian,0,-3.153130875,-2.179201096,-3.301193836,-1.174125639,0,,1,,,
73,Kang,Bayesian,0,3.096418827,3.282584795,2.175158873,4.48035878,0,,1,,,
74,Kang,Bayesian,0,0.692948321,1.583668058,0.527924988,2.703266299,0,,1,,,
75,Kang,Bayesian,0,2.712163659,2.839037127,1.571587423,3.911904487,0,,1,,,
76,Kang,Bayesian,0,1.778533342,2.591869233,1.428484417,3.779668182,0,,1,,,
77,Kang,Bayesian,0,3.128511734,3.749968004,2.516219767,5.128193302,0,,1,,,
78,Kang,Bayesian,0,3.434750782,4.719847694,2.904181667,6.418601045,0,,1,,,
79,Kang,Bayesian,0,1.750835652,2.353237798,1.203110891,3.640254677,0,,1,,,
80,Kang,Bayesian,0,2.41639677,3.642248942,2.376602355,4.833431409,0,,1,,,
81,Kang,Bayesian,0,-1.469563212,-0.402381783,-1.712627779,1.221805124,1,,1,,,
82,Kang,Bayesian,0,-0.827257174,0.006921966,-1.178773644,1.243819258,1,,1,,,
83,Kang,Bayesian,0,0.745794419,1.197107313,0.011499558,2.298149378,0,,1,,,
84,Kang,Bayesian,0,0.035597512,0.729075119,-0.484487752,1.899744025,1,,1,,,
85,Kang,Bayesian,0,-2.465666695,-1.2740522,-2.630300972,0.056379422,1,,1,,,
86,Kang,Bayesian,0,-1.02867721,-0.040445755,-1.247723368,1.114725083,1,,1,,,
87,Kang,Bayesian,0,2.060524613,2.556679149,1.171068784,3.834002761,0,,1,,,
88,Kang,Bayesian,0,0.665190666,1.460802869,0.235106635,2.776511359,0,,1,,,
89,Kang,Bayesian,0,-1.115210778,-0.980192629,-2.176967099,0.251592736,1,,1,,,
90,Kang,Bayesian,0,2.537841956,2.954790245,1.7271715,3.865226224,0,,1,,,
91,Kang,Bayesian,0,-1.609987372,-0.687281743,-2.008688817,1.026036442,1,,1,,,
92,Kang,Bayesian,0,-0.896421755,-0.058908873,-1.066501043,0.945318081,1,,1,,,
93,Kang,Bayesian,0,3.543327834,4.38832248,3.369218118,5.75574869,0,,1,,,
94,Kang,Bayesian,0,-1.517049842,-0.654473591,-1.489080225,0.292346346,1,,1,,,
95,Kang,Bayesian,0,-0.055604127,0.240128681,-0.933769398,1.328816141,1,,1,,,
96,Kang,Bayesian,0,1.51940442,2.558863818,1.222231707,3.965935728,0,,1,,,
97,Kang,Bayesian,0,-2.002730225,-0.538413191,-1.765345838,0.555530533,1,,1,,,
98,Kang,Bayesian,0,-0.222801547,1.191474346,0.115365395,2.313023046,0,,1,,,
99,Kang,Bayesian,0,-1.822031291,-0.528795426,-1.718295374,0.825298495,1,,1,,,
100,Kang,Bayesian,0,0.715095029,0.824465599,-0.317678479,2.189979369,1,,1,,,
1,kang,Bayesian_mu_correct,0,-0.195139397,0.215646701,0.107810174,0.33395501,0,0.057911476,1,kang_correct,,
2,kang,Bayesian_mu_correct,0,0.286641532,0.030741618,-0.077172494,0.114545328,1,0.052179481,1,kang_correct,,
3,kang,Bayesian_mu_correct,0,-1.531105731,0.004798374,-0.090593287,0.106319517,1,0.050908203,1,kang_correct,,
4,kang,Bayesian_mu_correct,0,-1.456284984,0.166239669,0.051483532,0.267896275,0,0.056494251,1,kang_correct,,
5,kang,Bayesian_mu_correct,0,-1.651708263,-0.058301614,-0.152687028,0.046170558,1,0.05306812,1,kang_correct,,
6,kang,Bayesian_mu_correct,0,4.388447939,-0.003147343,-0.101449724,0.087048756,1,0.048486811,1,kang_correct,,
7,kang,Bayesian_mu_correct,0,1.456790353,-0.076816891,-0.163590555,0.006492775,1,0.047235654,1,kang_correct,,
8,kang,Bayesian_mu_correct,0,-0.905681424,0.067930347,-0.036581413,0.160625947,1,0.049725333,1,kang_correct,,
9,kang,Bayesian_mu_correct,0,0.354746599,-0.04682093,-0.12937152,0.044454061,1,0.046758237,1,kang_correct,,
10,kang,Bayesian_mu_correct,0,0.799947148,-0.081559937,-0.177741477,0.026773075,1,0.051844231,1,kang_correct,,
11,kang,Bayesian_mu_correct,0,3.284760595,-0.390349345,-0.47902291,-0.271373905,0,0.050544696,1,kang_correct,,
12,kang,Bayesian_mu_correct,0,2.39123009,0.090349475,-0.012927843,0.186681961,1,0.051571432,1,kang_correct,,
13,kang,Bayesian_mu_correct,0,-0.023380811,0.104885657,-0.001036586,0.221619515,1,0.054498985,1,kang_correct,,
14,kang,Bayesian_mu_correct,0,0.665113883,-0.037839413,-0.131401906,0.063327878,1,0.0506193,1,kang_correct,,
15,kang,Bayesian_mu_correct,0,1.715573103,-0.237789951,-0.320002673,-0.14260926,0,0.04687233,1,kang_correct,,
16,kang,Bayesian_mu_correct,0,-0.554859504,0.063922448,-0.058729264,0.163831843,1,0.05275031,1,kang_correct,,
17,kang,Bayesian_mu_correct,0,1.594358865,0.366403702,0.253275288,0.476412457,0,0.057082086,1,kang_correct,,
18,kang,Bayesian_mu_correct,0,1.050968422,-0.145303693,-0.254378616,-0.040487561,0,0.051950334,1,kang_correct,,
19,kang,Bayesian_mu_correct,0,3.628375664,-0.077491866,-0.205043693,0.025616979,1,0.05496966,1,kang_correct,,
20,kang,Bayesian_mu_correct,0,0.599684006,-0.039956987,-0.150550825,0.07037548,1,0.05506333,1,kang_correct,,
21,kang,Bayesian_mu_correct,0,-2.469515554,0.098663622,0.005996476,0.190487517,0,0.046812351,1,kang_correct,,
